energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,name,artist,track_link,id,mood
0.923,0.248,90.644,0.0708,3.27e-05,0.0,0.259,178548,-2.684,0.64,Breaking Through,The Wreckage,https://open.spotify.com/track/781bCQjAUwwvfqlLV1ktnH,781bCQjAUwwvfqlLV1ktnH,Angry
0.765,0.39,84.94,0.291,0.169,0.0,0.698,216000,-4.562,0.589,Soldier,NEFFEX,https://open.spotify.com/track/6xbZaeFj8BPE3HGXF7VVjX,6xbZaeFj8BPE3HGXF7VVjX,Angry
0.89,0.201,90.598,0.0603,0.000481,0.00082,0.589,199907,-3.719,0.692,Last Resort,Papa Roach,https://open.spotify.com/track/5W8YXBz9MTIDyrpYaCg2Ky,5W8YXBz9MTIDyrpYaCg2Ky,Angry
0.939,0.491,159.932,0.0593,0.0425,0.0,0.434,209493,-2.983,0.569,Awake and Alive,Skillet,https://open.spotify.com/track/0KCr0VngtbPhpbngIIfiLW,0KCr0VngtbPhpbngIIfiLW,Angry
0.91,0.578,127.099,0.0639,0.0132,0.0,0.541,187360,-3.879,0.493,Live To Win,Paul Stanley,https://open.spotify.com/track/74inHQGjQj6w630tZ9wb2J,74inHQGjQj6w630tZ9wb2J,Angry
0.741,0.217,168.02,0.0408,0.00293,1.2e-05,0.651,232773,-5.067,0.386,Go Hard or Go Home,Wiz Khalifa,https://open.spotify.com/track/4IXiFMhtXEbSEG8UoAeTwD,4IXiFMhtXEbSEG8UoAeTwD,Angry
0.968,0.226,199.9,0.129,0.00116,0.0,0.349,224596,-2.734,0.481,Out of My Way,Onlap,https://open.spotify.com/track/152yLjLT2T0W8kf2hutvo1,152yLjLT2T0W8kf2hutvo1,Angry
0.93,0.152,154.946,0.0474,0.00137,0.0,0.509,149640,-2.689,0.783,False Pretense,The Red Jumpsuit Apparatus,https://open.spotify.com/track/2ZICF8SFI5tHttaLJKMY1X,2ZICF8SFI5tHttaLJKMY1X,Angry
0.987,0.555,175.018,0.289,0.000807,0.392,0.282,252952,-2.846,0.152,Even,Withredd,https://open.spotify.com/track/4pT8JNDyymRZMpl5yGgJ3W,4pT8JNDyymRZMpl5yGgJ3W,Angry
0.963,0.448,108.724,0.125,0.00319,0.0,0.371,242990,-2.85,0.371,Viking Death March,Billy Talent,https://open.spotify.com/track/0M3adYbGtyRHACP86dey1H,6l78mUZ86r0NrfRgni0LuM,Angry
0.984,0.044,104.345,0.0626,0.00052,2.48e-06,0.572,165173,-3.847,0.524,Under The Knife,Rise Against,https://open.spotify.com/track/6ndmKwWqMozN2tcZqzCX4K,7ycK2uijskzxp4cGpGNoCi,Angry
