energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,name,artist,track_link,id,mood
0.382,0.0939,146.062,0.208,0.19,8.12e-06,0.873,123264,-10.262,0.518,Thor's Hammer Worthy (feat. ZillaKami),DJ Scheme,https://open.spotify.com/track/2tKhmLk0vDv5Gwe1aQd7Ix,2tKhmLk0vDv5Gwe1aQd7Ix,Angry
0.724,0.0782,147.083,0.0673,0.0281,0.0,0.535,178160,-5.498,0.179,Hateful,Post Malone,https://open.spotify.com/track/6p49tiDlXi6m9BD20P0z05,6p49tiDlXi6m9BD20P0z05,Angry
0.771,0.401,170.392,0.342,0.0537,0.113,0.462,171000,-2.931,0.482,4 Morant (Better Luck Next Time),Com Truise,https://open.spotify.com/track/3XOmSRuEEq7rK4XNzWQdyT,3XOmSRuEEq7rK4XNzWQdyT,Angry
0.755,0.121,95.036,0.0417,0.00363,0.000795,0.701,222307,-5.82,0.116,What's Up Danger (with Black Caviar),Blackway,https://open.spotify.com/track/5zsHmE2gO3RefVsPyw2e3T,5zsHmE2gO3RefVsPyw2e3T,Angry
0.648,0.0984,106.058,0.0835,0.0706,0.00636,0.849,111020,-6.188,0.195,Paris,$uicideboy$,https://open.spotify.com/track/6tO5bxNnMuh1c3cziSpecA,6tO5bxNnMuh1c3cziSpecA,Angry
0.579,0.102,103.057,0.206,0.702,0.0,0.589,212187,-9.493,0.359,Outro,NF,https://open.spotify.com/track/7uax1a1G4cg1GgokfakTnN,7uax1a1G4cg1GgokfakTnN,Angry
0.638,0.152,150.993,0.226,0.031,0.000116,0.819,89741,-4.831,0.167,New Tank,Playboi Carti,https://open.spotify.com/track/4txKMpsSfZRV6durPuHVq0,4txKMpsSfZRV6durPuHVq0,Angry
0.869,0.206,123.983,0.0515,0.00088,0.836,0.683,187173,-4.828,0.219,John Wick Mode,Le Castle Vania,https://open.spotify.com/track/2zwcnaxahJOnYwG0H6tXTz,2zwcnaxahJOnYwG0H6tXTz,Angry
0.603,0.649,158.022,0.0448,0.000764,0.93,0.294,123333,-5.711,0.137,Psycho Dreams (Sped Up),Kill Eva,https://open.spotify.com/track/3nfj9Fdbl30TvcZE9sU0Vx,6yt46G7lWn0oC2FEZZDsi6,Angry
0.985,0.297,127.99,0.0647,0.0205,6.86e-06,0.801,166933,-2.69,0.72,Get Up (Rattle) [feat. Far East Movement] - Vocal Edit,Bingo Players,https://open.spotify.com/track/47596JGo5zmiOBTmaclsPt,3wLPRjw2XQpmowqXUXb3UF,Angry
0.539,0.537,108.984,0.038,0.000564,1.4e-05,0.517,255413,-6.474,0.531,MODERN JAM (feat. Teezo Touchdown),Travis Scott,https://open.spotify.com/track/1EdQCb51lC8usq47IMhADP,3KCNiDi9Pza6ZD8FggNoaw,Angry
0.848,0.121,139.995,0.335,0.0481,0.0,0.757,212640,-4.234,0.686,Wild for the Night (feat. Skrillex & Birdy Nam Nam),A$AP Rocky,https://open.spotify.com/track/6I7FFkcXS58luQoYLzPHi3,2rzBvHM9h36Tpdj7Jdajka,Angry
0.876,0.098,87.306,0.414,0.261,0.0,0.451,227176,-5.205,0.227,EA (feat. 21 Savage),Young Nudy,https://open.spotify.com/track/1YXV3fSpNgxXSfhsEgRmtb,68MTDH8Kk4jBEV1ah0n89s,Angry
0.805,0.147,131.001,0.332,0.0715,0.0,0.474,176125,-5.997,0.109,Flawlëss (feat. Lil Uzi Vert),Yeat,https://open.spotify.com/track/2y4uALh6kU3nATtBru3Tvk,1a019wP7IdYLexwbmfZPm3,Angry
0.675,0.276,148.134,0.0535,0.243,0.0298,0.52,176757,-8.036,0.125,With A Smile,Maiah Manser,https://open.spotify.com/track/6bxKECVRnkLmtpeU22Ve9p,26VCyPfEWFecgJSq3SrF4o,Angry
0.8,0.121,128.074,0.0545,0.155,0.0562,0.605,211880,-6.235,0.836,Silhouettes - Original Radio Edit,Avicii,https://open.spotify.com/track/2BtNKxwH22ym0YDPiqVeuM,06h3McKzmxS8Bx58USHiMq,Angry
0.871,0.115,128.195,0.043,0.172,0.00164,0.788,91820,-5.782,0.401,SUICIDE YEAR,WEEDMANE,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9,6hRvewF5MRAsqqxnNs3z2b,Angry
0.882,0.142,148.038,0.06,0.0316,0.0,0.569,191701,-2.777,0.201,FE!N (feat. Playboi Carti),Travis Scott,https://open.spotify.com/track/4N7i6RfJXMWfkx9Zr6pzkJ,42VsgItocQwOQC3XWZ8JNA,Angry
0.881,0.149,122.026,0.0466,0.0119,0.92,0.668,101322,-1.751,0.756,ALORS BRAZIL,NONTHENSE,https://open.spotify.com/track/2VKHWIONh47ntN7wyoSxEQ,0k9k2Mr1gR7zeSLiNAqimY,Angry
0.8,0.608,119.988,0.0285,0.00341,0.0397,0.595,212000,-5.262,0.151,Sleepwalker,akiaura,https://open.spotify.com/track/3dPQuX8Gs42Y7b454ybpMR,1IPHnu3hVkawJMzkP97tcm,Angry
0.575,0.104,138.016,0.0906,0.121,0.0,0.693,160052,-7.633,0.353,Monëy so big,Yeat,https://open.spotify.com/track/21xf4oLo7SlAFxfjurqYws,4Se3fXoHJkcraQzJXo2IYn,Angry
0.879,0.131,128.941,0.0659,0.153,0.000166,0.687,100465,0.566,0.311,MANDA BALA,Ariis,https://open.spotify.com/track/4h7qcXBtaOJnmrapxoWxGf,1lS2qOUk6GA20XvjjrWc25,Angry
0.521,0.11,115.016,0.0318,0.146,0.772,0.615,171385,-9.488,0.045,Sahara,Hensonn,https://open.spotify.com/track/4B8gtpBuEtU9XUizl6BK2W,6nqdgUTiWt4JbABDurkxMI,Angry
0.623,0.471,107.952,0.0308,0.000172,0.874,0.556,133333,-10.429,0.0659,The Fallen,Caleb Bryant,https://open.spotify.com/track/0SzDVyiiUDpuhzrphnoejr,6OntGp1fBnvvHsqKzd4ZwO,Angry
0.434,0.277,147.066,0.385,0.204,0.0,0.693,119738,-8.786,0.542,Go2DaMoon (feat. Kanye West),Playboi Carti,https://open.spotify.com/track/6V81K1OcvYgHEnCA6A2Qx9,0F13K9dwYH2zpTWiR8d628,Angry
0.844,0.119,122.925,0.0346,0.000613,0.668,0.625,172549,-4.568,0.467,SO TIRED,NUEKI,https://open.spotify.com/track/0xlcIxje2PV8tE18gSXW32,486SOuxGXX6CFNMwFXlGZs,Angry
0.696,0.573,107.996,0.113,0.137,0.00424,0.781,171466,-6.069,0.293,Dream Space,DVRST,https://open.spotify.com/track/5vkDSUiDwvOzJw5jGuWF48,4wHkfOTO5XpTrVn1bHxR18,Angry
0.58,0.116,139.902,0.0393,0.0372,0.0,0.66,157780,-9.921,0.115,Gët Busy,Yeat,https://open.spotify.com/track/5oo7lrBwuD4dVfJbBLyVyI,0SHO7NVnp3U5NFc9YWkPCR,Angry
0.377,0.115,113.886,0.0935,0.0123,1.43e-06,0.896,136573,-5.502,0.255,vent,Baby Keem,https://open.spotify.com/track/3hzelPptWzx0OrSDTyIuuy,1ITpqT1kDATCtMBwOK7sYn,Angry
0.765,0.287,120.036,0.0293,1.95e-06,0.805,0.555,82062,-5.854,0.281,RAGE,scraizis,https://open.spotify.com/track/09riz9pAPJyYYDVynE5xxY,52OWRufMrpxRcv3Sy97A42,Angry
